lat,lng,label,dwell_mins,p_success
47.6062,-122.3321,Capitol Hill 1,5.0,0.90
47.6092,-122.3401,Capitol Hill 2,4.0,0.85
47.6001,-122.3291,Beacon Hill 1,6.5,0.80
47.6150,-122.3450,Queen Anne 1,5.0,0.88
47.6080,-122.3350,Downtown Office,3.5,0.93
47.5990,-122.3380,SoDo Warehouse,6.0,0.82
47.6120,-122.3280,First Hill 1,5.5,0.87
47.6030,-122.3420,Pioneer Square,4.5,0.85
47.6200,-122.3310,Lower Queen Anne,6.0,0.79
47.6070,-122.3470,Belltown 1,5.0,0.88
47.6140,-122.3390,Madison Valley,4.5,0.91
47.5970,-122.3360,SODO Business,6.5,0.78
47.6110,-122.3440,Belltown 2,4.0,0.86
47.6050,-122.3300,Intl District,5.5,0.83
47.6180,-122.3480,South Lake Union,4.0,0.93
47.6020,-122.3250,Georgetown,5.0,0.84
47.6090,-122.3340,Central District,6.0,0.81
47.6160,-122.3270,Eastlake 1,4.5,0.89
47.6035,-122.3460,Pioneer Square 2,5.5,0.82
47.6125,-122.3315,Capitol Hill 3,4.0,0.87
47.5980,-122.3410,SODO Studio,5.0,0.85
47.6070,-122.3230,Madrona,6.0,0.80
47.6155,-122.3425,Westlake,4.5,0.91
47.6010,-122.3340,Columbia City,5.0,0.84
47.6095,-122.3500,Fremont,6.5,0.77
47.6045,-122.3355,First Hill 2,5.0,0.86
47.6175,-122.3305,Eastlake 2,4.5,0.90
47.6085,-122.3415,Belltown 3,5.5,0.83
47.5965,-122.3325,Georgetown 2,6.0,0.79
47.6130,-122.3475,Lower Queen Anne 2,4.0,0.88
47.6015,-122.3280,Beacon Hill 2,5.5,0.82
47.6100,-122.3360,Capitol Hill 4,5.0,0.87
47.6055,-122.3440,Pioneer Square 3,4.5,0.84
47.6185,-122.3395,South Lake Union 2,4.0,0.92
47.6075,-122.3260,Madrona 2,6.0,0.80
47.6145,-122.3340,Madison Valley 2,5.0,0.89
47.5985,-122.3460,SODO 2,6.5,0.76
47.6025,-122.3395,Georgetown 3,5.5,0.83
47.6165,-122.3455,Queen Anne 2,4.5,0.88
47.6105,-122.3295,First Hill 3,5.0,0.86
