lat,lng,label,dwell_mins,p_success
47.6062,-122.3321,Capitol Hill Apt A,7.0,0.82
47.6071,-122.3335,Capitol Hill Apt B,8.0,0.78
47.6055,-122.3308,Capitol Hill House 1,6.0,0.88
47.6083,-122.3347,Broadway Condo,7.5,0.80
47.6049,-122.3322,Pine St Apartment,8.0,0.75
47.6077,-122.3298,Pike St Apt,7.0,0.83
47.6064,-122.3359,15th Ave Residence,6.5,0.85
47.6041,-122.3341,12th Ave House,7.0,0.81
47.6089,-122.3312,John St Condo,8.5,0.77
47.6058,-122.3375,Harvard Ave Apt,7.0,0.82
47.6035,-122.3355,Denny Way Apt 1,8.0,0.76
47.6096,-122.3328,Eastlake Residence,6.5,0.86
47.6043,-122.3291,Olive Way Apt,7.5,0.79
47.6070,-122.3385,Belmont Ave House,7.0,0.83
47.6052,-122.3302,Republican St Condo,8.0,0.78
47.6085,-122.3365,Boylston Ave Apt,6.0,0.87
47.6038,-122.3318,Howell St Residence,7.5,0.80
47.6066,-122.3278,Summit Ave Apt,8.0,0.74
47.6079,-122.3342,Bellevue Ave House,7.0,0.82
47.6047,-122.3368,Melrose Ave Condo,6.5,0.85
47.6093,-122.3295,Federal Ave Apt,8.0,0.77
47.6061,-122.3388,10th Ave E Residence,7.0,0.83
47.6032,-122.3331,Seneca St Apt,7.5,0.79
47.6074,-122.3258,Lakeview Blvd House,6.0,0.88
47.6087,-122.3378,Prospect St Condo,8.5,0.76
47.6044,-122.3285,Spring St Apt,7.0,0.81
47.6067,-122.3348,Union St Residence,7.5,0.80
47.6056,-122.3395,Roy St Apt,8.0,0.75
47.6080,-122.3268,Dexter Ave House,6.5,0.86
47.6039,-122.3362,Madison St Condo,7.0,0.82
47.6091,-122.3318,Harrison St Apt,8.0,0.77
47.6048,-122.3275,Terry Ave Residence,7.5,0.81
47.6063,-122.3408,Mercer St Apt,7.0,0.83
47.6075,-122.3288,Thomas St House,6.0,0.87
47.6036,-122.3345,Hubbell Pl Condo,8.5,0.75
47.6088,-122.3358,Roy St 2,7.0,0.80
47.6053,-122.3315,Denny Way Apt 2,7.5,0.79
47.6069,-122.3372,Harvard Pl Residence,8.0,0.76
47.6042,-122.3298,Valley St Apt,7.0,0.84
47.6076,-122.3282,Eastlake Ct House,6.5,0.86
47.6059,-122.3332,Lakeview Condo,8.0,0.77
47.6082,-122.3395,Louisa St Apt,7.5,0.81
47.6046,-122.3308,Pontius Ave Residence,7.0,0.83
47.6094,-122.3342,Fairview Ave Apt,8.5,0.74
47.6037,-122.3378,Westlake Ave House,7.0,0.82
