lat,lng,label,dwell_mins,p_success
47.5850,-122.3850,Rainier Valley Home 1,5.0,0.91
47.5780,-122.3920,Columbia City House,4.5,0.93
47.5910,-122.3780,Hillman City Residence,5.5,0.89
47.5700,-122.3850,Brighton House 1,4.0,0.94
47.5960,-122.3700,Seward Park Ave,5.0,0.90
47.5820,-122.3960,Columbia City 2,5.5,0.88
47.5750,-122.3790,Rainier Ave House,4.5,0.92
47.5880,-122.3840,Othello Residence,5.0,0.91
47.5670,-122.3910,Beacon Ave Home,4.0,0.93
47.5930,-122.3760,Henderson St House,5.5,0.89
47.5800,-122.3890,Rainier Valley 2,5.0,0.90
47.5720,-122.3840,Graham St Residence,4.5,0.92
47.5860,-122.3770,Othello Ave House,5.0,0.91
47.5640,-122.3870,Myrtle St Home,4.0,0.94
47.5950,-122.3720,Seward Park Home,5.5,0.88
47.5810,-122.3950,Columbian Way,5.0,0.90
47.5740,-122.3810,Holly Park Residence,4.5,0.92
47.5900,-122.3800,Orcas St House,5.0,0.91
47.5680,-122.3930,Cloverdale Residence,4.0,0.93
47.5760,-122.3760,Kenyon St House,5.5,0.89
47.5830,-122.3820,Rainier Beach Home,5.0,0.90
47.5710,-122.3880,Henderson St 2,4.5,0.92
47.5870,-122.3750,Genesee St House,5.0,0.91
47.5650,-122.3900,Renton Ave Residence,4.0,0.94
47.5920,-122.3740,Beacon Hill South,5.5,0.88
47.5790,-122.3870,Rainier Ave 2,5.0,0.90
47.5730,-122.3820,Thistle St Home,4.5,0.92
47.5890,-122.3810,Cloverdale St House,5.0,0.91
47.5660,-122.3860,Leo Ct Residence,4.0,0.93
47.5940,-122.3710,Barton St Home,5.5,0.89
