lat,lng,label,dwell_mins,p_success
47.6062,-122.3321,High-Rise Apt Tower 1,9.0,0.72
47.6092,-122.3401,Gated Community 1,8.5,0.68
47.6001,-122.3291,Elderly Care Facility,10.0,0.65
47.6150,-122.3450,Apt Complex A,9.5,0.70
47.6080,-122.3350,Secured Office Building,8.0,0.75
47.5990,-122.3380,Industrial Park 1,9.0,0.71
47.6120,-122.3280,University Dorm Block,10.0,0.63
47.6030,-122.3420,High-Rise Apt Tower 2,9.5,0.69
47.6200,-122.3310,Gated Community 2,8.5,0.67
47.6070,-122.3470,Apt Complex B,9.0,0.73
47.6140,-122.3390,Senior Living Center,10.0,0.64
47.5970,-122.3360,Industrial Park 2,8.5,0.70
47.6110,-122.3440,Student Housing Block,9.0,0.68
47.6050,-122.3300,Embassy Row,8.0,0.76
47.6180,-122.3480,Mixed Use Tower,9.5,0.71
47.6020,-122.3250,Secured Compound 1,10.0,0.62
47.6090,-122.3340,High-Rise Apt Tower 3,9.0,0.72
47.6160,-122.3270,Apt Complex C,8.5,0.69
47.6035,-122.3460,Luxury Condo Tower,9.5,0.74
47.6125,-122.3315,Gated Community 3,8.0,0.67
47.5980,-122.3410,Industrial Warehouse,10.0,0.63
47.6070,-122.3230,Remote Residential,9.0,0.70
47.6155,-122.3425,High-Rise Apt Tower 4,9.5,0.71
47.6010,-122.3340,Secured Compound 2,8.5,0.66
47.6095,-122.3500,Apt Complex D,9.0,0.73
47.6045,-122.3355,University Housing,10.0,0.64
47.6175,-122.3305,Gated Community 4,8.5,0.68
47.6085,-122.3415,Mixed Use Residential,9.0,0.72
47.5965,-122.3325,Industrial Park 3,9.5,0.69
47.6130,-122.3475,High-Rise Apt Tower 5,8.0,0.75
47.6015,-122.3280,Senior Center 2,10.0,0.63
47.6100,-122.3360,Apt Complex E,9.0,0.71
47.6055,-122.3440,Student Dorm Tower,9.5,0.67
47.6185,-122.3395,Mixed Use Tower 2,8.5,0.70
47.6075,-122.3260,Gated Estate,9.0,0.74
47.6145,-122.3340,High-Rise Apt Tower 6,10.0,0.65
47.5985,-122.3460,Secured Office 2,8.5,0.68
47.6025,-122.3395,Industrial Complex,9.0,0.71
47.6165,-122.3455,Apt Tower Premium,9.5,0.72
47.6105,-122.3295,Luxury Residential,8.0,0.76
